,,Province,GHG Factor Electricity,GHG Factor Natural Gas,GHG Factor Oil,GHG Factor Propane,GHG Factor Wood,
,,Newfoundland and Labrador,0.000034,0.001912355,0.002755438,0.001547859,0.00035826,
,,Prince Edward Island,0.000276,0.001912355,0.002755438,0.001547859,0.00035826,
,,Nova Scotia,0.00074,0.001912355,0.002755438,0.001547859,0.00035826,
,,New Brunswick,0.000276,0.001912355,0.002755438,0.001547859,0.00035826,
,,Quebec,0.00000162,0.001898355,0.002755438,0.001547859,0.00035826,
,,Ontario,0.000034,0.001899355,0.002755438,0.001547859,0.00035826,
,,Manitoba,0.00000266,0.001897355,0.002755438,0.001547859,0.00035826,
,,Saskatchewan,0.000752,0.001840355,0.002755438,0.001547859,0.00035826,
,,Alberta,0.000802,0.001939355,0.002755438,0.001547859,0.00035826,
,,British Columbia,0.00001158,0.001937355,0.002755438,0.001547859,0.00035826,
,,Yukon,0.0000536,0.001912355,0.002755438,0.001547859,0.00035826,
,,Northwest Territories,0.000232,0.001912355,0.002755438,0.001547859,0.00035826,
,,Nunavut,0.000782,0.001912355,0.002755438,0.001547859,0.00035826,
,,Override Province,,,,,,
,,Override Value,,,,,,
,,Information Source,,,,,,
,,,,,,,,
,,GHG Calculations Results,,,,,,
Fuel consumption from h2k file,,Province,Electricity,Natural Gas,Oil,Propane,Wood,Total
Electricity_kWh,0,Newfoundland and Labrador,0.0000,0.00,0.00,0.00,0.00,0.00
Natural Gas_m3,0,Prince Edward Island,0.0000,0.00,0.00,0.00,0.00,0.00
Oil_Litres,0,Nova Scotia,0.0000,0.00,0.00,0.00,0.00,0.00
Propane_Litres,0,New Brunswick,0.0000,0.00,0.00,0.00,0.00,0.00
Wood_Kg,0,Quebec,0.0000,0.00,0.00,0.00,0.00,0.00
,,Ontario,0.0000,0.00,0.00,0.00,0.00,0.00
,,Manitoba,0.0000,0.00,0.00,0.00,0.00,0.00
,,Saskatchewan,0.0000,0.00,0.00,0.00,0.00,0.00
,,Alberta,0.0000,0.00,0.00,0.00,0.00,0.00
,,British Columbia,0.0000,0.00,0.00,0.00,0.00,0.00
,,Yukon,0.0000,0.00,0.00,0.00,0.00,0.00
Renewables_GJ,,Northwest Territories,0.0000,0.00,0.00,0.00,0.00,0.00
,,Nunavut,0.0000,0.00,0.00,0.00,0.00,0.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"© His Majesty the king in Right of Canada, as represented by the Minister of Natural Resources, 2023",,,,,,,
,"© Sa Majesté le Roi du chef du Canada, représentée par le ministre de Ressources naturelles, 2023",,,,,,,