"","","","GLOSSARY OF TERMS & ACRONYMS",""
"","Abbreviated Term","Full Term","Description",""
"","Assemblies","Building envelope assemblies","Assembly of building materials to form a wall, floor or roof unit. Can be prefabricated or site-built. May or may not include vapor, air, and water barriers.",""
"","AWC & CWC","American Wood Council & Canadian Wood Council","Industry associations.",""
"","BAM","Best Available Materials","A term Builders for Climate Action uses in their reports as shorthand for relative material carbon intensity performance (see also BPM, MCM, HCM)",""
"","BfCA","Builders for Climate Action","The developer and operater of BEAM.",""
"","BPM","Best Possible Materials","A term Builders for Climate Action uses in their reports as shorthand for relative material carbon intensity performance (see also BAM, MCM, HCM)",""
"","CA","Canada","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","""Carbon"", 
Carbon Emissions, 
CO2e Emissions","Carbon dioxide equivalent emissions","Ambiguously, the term ""carbon"" may refer to material carbon, operational carbon, or both. It may include carbon emissions and carbon storage, or the net result of both wherein emissions are positive values and storage is negative. ""Carbon"" is shorthand for the global warming impact of an equivalent mass of carbon dioxide equivalent (kg CO2e) emissions over a fixed time horizon, typically 100 years. In simpler terms, it means how many CO2 molecules in the atmosphere would cause the same global warming increase as the amount of actual emissions in question, over the same period of time after release. Mathematically, it is a sum of the products of each mass of greenhouse gas (GHG) emissions multiplied by the global warming potential (GWP) of that particular greenhouse gas (GHG). Carbon dioxide gas was strategically chosen as the standard reference gas for comparing the GWP of all GHGs so that any gas' impacts could be converted to and summed together in one common unit, CO2e. The GWP for CO2 was thus set as 1. 

Example: the GWP100 of HFC-23 gas is 14,800 kg CO2e, meaning 1 kg of HFC-23 in the atmosphere for 100 years has the same global warming impact as 14,800 kg of carbon dioxide gas for 100 years. If 0.5 kg of HFC-23 is emitted to produce 1 functional unit of product (and no other GHGs), the EPD would represent this as 7,400 kg CO2e / functional unit. BEAM then multiplies the number of functional units (like square metres, cubic metres, etc) by the number of those units in your building. For example, if your building included 4 functional units, that would give 29,600 kg CO2e. 

Interestingly, only about 76% of GHGs global warming impact is caused by CO2. And, GHG emissions might contain no carbon elements whatsoever, such as N2O or SF6. For more information and a GHG equivalence calculator, see https://www.epa.gov/ghgemissions/overview-greenhouse-gases",""
"","Carbon Storage, 
Biogenic Carbon, 
CO2e Storage","Carbon dioxide equivalent storage","Biogenic carbon's global warming reduction impact (reverse of GWP) is measured via the amount of carbon (C) fixed in a material from the atmosphere during a biological process, such as photosynthesis. Each mole of carbon (molar mass = 12) can be equated to one mole of carbon dioxide (molar mass = 44) removed from the atmosphere for a simplified application of carbon accounting. Thus 1 kg of carbon elements stored in a material represents 44/12 (approximately 3.67) kg of biogenic CO2 sequestered from the atmosphere. 

The transformation of biomass (and its embodied “biogenic” carbon) into products represents in effect a removal of CO2, via its continued storage in the product over a period of time. These are counted as negative emissions. As a proxy for GWP, however, the resulting storage can be considered CO2e (equivalent) and thus offset any other GHG impact, not just CO2. If the source documents such as EPDs or LCAs do not reveal the carbon storage of a material that is known to have biogenic content, BfCA uses a standard methodology for calculating it in house. The following is an example of said methodology.

Example of carbon storage calculation: Product X contains 90% straw by weight. The product's functional unit is m2 and has an area density of 20 kg/m2. Straw contains approximately 48% carbon by weight (determined from Phyllis2 database lab result records). 

Carbon storage = (20 kg product/m2)*(0.90 kg straw/kg product)*(0.48 kg C/kg straw)*(44 kg CO2e/12 kg C) = 31.68 kg CO2e/m2 of product
BEAM Storage value listed = (31.68 kg CO2e/m2) - 10% uncertainty factor  = 28.5 kg CO2e/m2",""
"","CLT","Cross-Laminated Timber","An engineered wood panel fabricated by gluing several layers of solid-sawn kiln-dried lumber together, where each layer is perpendicular to the previous. These are often used as wall and floor components in a building.",""
"","CMU","Concrete Masonry Unit","A standard-dimension rectangular shaped block made of of concrete with hollow cavities for rebar and concrete fill when structurally necessary.",""
"","Cob","","A traditional building material composed of clay-based soil, sand, and chopped straw. Cob walls are a vapour-open, monolithic, structural assembly, usually plastered on both sides with clay or lime plaster.",""
"","Cradle-to-Gate","EPD phases A1-A3","Essentially the manufacturing phase, the cradle-to-gate lifecycle phases of a product or material include resource extraction/collection, transportation of materials to be processed, processing/manufacturing and packaging.",""
"","CRMCA","Canadian Ready-Mixed Concrete Association","Industry association",""
"","DLT","Dowel Laminated Timber","A structural material manufactured from wood components.",""
"","EC3","Embodied Carbon in Construction Calculator","A free online embodied carbon calculator tool from Building Transparency. Based on EPDs, the EC3 tool is mainly used for counting and comparing embodied carbon of building materials. Those using EC3 tend to be working on large and complex building projects, which differentiates it from BEAM which is designed to be used for homes and small buildings.",""
"","Embodied Carbon","","These are the carbon emissions attributed to all lifecycle stages of a building aside from the operational emissions of the building. This includes the production, transportation, manufacturing, resource extraction, packaging, use, maintenance and end of life stages of building materials and activities related to materials.",""
"","Energy Consumption","Operational energy consumption","The quantity of energy consumed annually (kW·h/yr) to operate the building over a given time period, usually a year. Operational energy typically includes, but is not limited to, heating, cooling, refrigeration, hot water, ventilation lighting, mechanical equipment and electronics. Often non-electric energy consumption is expressed as a mass or volume of fuel (e.g. wood, natural gas, propane, etc.) required to provide the energy consumed in that period.",""
"","EPD","Environmental Product Declaration","A transparent, independently verified delaration that quantifies the environmental impacts of the life cycle of a product to enable comparisons between products fulfilling the same function. The EPD methodology is based on the Life Cycle Assessment (LCA) tool that follows International Organization for Standardization (ISO) standards and product category rules (PCRs). This calculator uses the GWP values for phases A1-A3 from EPDs unless otherwise specified.",""
"","EPS","Expanded Polystyrene","A transparent, independently verified delaration that quantifies the environmental impacts of the life cycle of a product to enable comparisons between products fulfilling the same function. The EPD methodology is based on the Life Cycle Assessment (LCA) tool that follows International Organization for Standardization (ISO) standards and product category rules (PCRs). This calculator uses the GWP values for phases A1-A3 from EPDs unless otherwise specified.",""
"","EU","Europe","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","FA","Fly Ash","A byproduct of coal-fired power production. It is used as a Supplementary Cementitious Material (SCM) to replace cement content in concrete production.",""
"","FSC","Forest Stewardship Council","FSC is an international non-profit, multistakeholder organization that has developed rigorous procedures and global standards for voluntary forest certification systems established for forests and forest products.",""
"","GHG","Greenhouse Gas (Emissions)","Gases responsible for radiative forcing that traps heat in the atmosphere, causing climate change. Units: kg CO2e ",""
"","GLT or Glulam","Glue Laminated Timber","A structural material manufactured from wood components.",""
"","GU","General Use cement type","",""
"","GWP","Global Warming Potential","The impact of GHGs attributed to a material, process or system measured in units of kg of CO2e. (See Carbon dioxide equivalent)",""
"","HCM","High Carbon Materials","A term Builders for Climate Action uses in their reports as shorthand for relative material carbon intensity performance (see also BPM, BAM, MCM).",""
"","Hempcrete","Hemp and lime building material","Hempcrete is an insulative building material made with lime (CaO), hemp hurd, and water. Hemp hurd is the woody inner material removed from a hemp plant stalks and stems (decortication) typically during the processing of hemp fibers for fabrics. It has structural, vapour-open, air barrier, thermal mass and other properties. It can be site-cast as infill insulation in walls, floors and roofs, or it may be manufactured into shapes like panels or blocks. A common misconception is that hempcrete is a type of concrete which can replace common portland cement-based concrete. This is because the term 'concrete' has become synonymous with cement-based concrete which is ubiquitous in construction. However, hempcrete tends to have lower strength properties than common cement-based concrete and is not usually sufficient for normal concrete applications like foundations and slabs. Rather, as mentioned, it is primarily used as an insulation with other benefits. Due to the hemp hurd material and the low carbon emissions of lime relative to portland cement, hempcrete tends to be overall a carbon negative building material.",""
"","HFC","Hydroflurocarbons","",""
"","HFO","Hydrofluoroolefins","",""
"","ICE","Inventory of Carbon and Energy","Database of embodied energy and carbon of building materials from the University of Bath (UK), Sustainable Energy Research Team. (https://www.bath.ac.uk/teams/sustainable-energy-research-team/)",""
"","ICF","Insulated Concrete Forms","",""
"","kW·h","Kilowatt-hours","A metric system unit – power (kJ/s) multiplied by time (hours)  – used to measure electrical energy consumption.",""
"","LCA","Life Cycle Assessment","Also known as life-cycle analysis, it is a methodology for assessing environmental impacts associated with all the stages of the life-cycle of a product, process, or service. For instance, in the case of a manufactured product, environmental impacts are assessed from raw material extraction and processing (cradle), through the product's manufacturing (gate), distribution and use, and recycling or final disposal of the materials (grave).",""
"","LSL","Laminated Strand Lumber","A structural material manufactured from wood components.",""
"","LVL","Laminated Veneer Lumber","A structural material manufactured from wood components.",""
"","MCE","Material Carbon Emissions","In BEAM, MCE refers to the carbon-dioxide equivalent embodied carbon emissions from the Cradle-to-Gate (A1-A3) life cycle stages.",""
"","MCI","Material Carbon Intensity","In BEAM, MCI is equivalent to MCE divided by a common unit basis, such as floor area. This is typically used to compare the emissions intensity of projects, in a similar way to how Energy Use Intensity (EUI) is used to compare the operational energy consumption of buildings by a common unit area.",""
"","MCM","Moderate Carbon Materials","A term Builders for Climate Action uses in their reports as shorthand for relative material carbon intensity performance (see also BPM, BAM, HCM).",""
"","MgO","Magnesium Oxide","",""
"","MPa","Megapascals","A measure of pressure in SI (metric) units of one million Pascals (1 Pa = 1 Newton of force per square metre). In the context of concrete, the MPa value listed is typically the minimum compressive strength achieved after 28 days of curing.",""
"","NAFA","North American Fiberboard Association","Industry association",""
"","NZC","Net Zero Carbon","For embodied carbon, NZC means a parity has been reached between embodied carbon emissions (+) and biogenic carbon storage (-), resulting in a net zero balance of CO2e exchange with the atmosphere. 
For operational carbon, NZC means any carbon emissions from generating offsite energy consumed annually by the building are offset with carbon credits. Typically a NZ operating carbon building design will prioritize reducing energy consumption and produce on-site energy generation to meet all demand. Definitions and criteria will vary from these descriptions between certification systems and sources.",""
"","Off-gassing","VOC evaporation","Volatile organic compounds (VOCs) evaporate from some building materials over time, releasing them into the indoor and/or outdoor environment, potentially causing indoor air quality and climate concerns. Off-gassing also refers to the gases that release from some insulation types which use high GHG blowing-agents that leak from the cells during use.",""
"","Operational Carbon","Operational carbon emissions","Also known as operating carbon, carbon emissions, or simply emissions or carbon, terms that may implicitly exclude embodied carbon. Operation carbon is the mass quantity of CO2e emitted to generate (and sometimes transport) the operational energy consumed in the operation of the building. (see Energy Consumption)",""
"","Phillys database","Phyllis2","A database for the physico-chemical composition test results for various biomaterials in common use, including wood and straw. URL: https://phyllis.nl/ BEAM uses these results in carbon storage calculations. See Carbon Storage definition above for example.",""
"","psi","Pounds per square inch","A measure of pressure in IP (US-imperial) units of one pound-mass per square inch",""
"","PSL","Parallel Strand Lumber","A structural material manufactured from wood components.",""
"","RSI","Thermal Resistance per area in SI units","A measure per unit area of resistance to heat flow through a material or assembly of materials in metric/SI units (m2·K/W or m2·°C/W).",""
"","R-Value","Thermal Resistance in U.S./imperial units","A measure per unit area of resistance to heat flow through a material or assembly of materials in I-P units (ft2·°F·h/BTU) in the U.S. and Canada, where I-P stands for Inches and Pounds. R-Value is often communicated as R-value per inch of material thickness, or R per inch. ",""
"","SL","Slag","A glass-like byproduct of smelting or refining ore. It is used as a Supplementary Cementitious Material (SCM) to replace cement content in concrete production.",""
"","SPF","Spruce, Pine, Fir ","A group of similar tree species predominantly used for softwood lumber products in various regions of North America, particularly in the East of the continent.",""
"","SPFA","Spray Polyurethane Foam Association","Industry association.",""
"","t","tonne(s) or metric Ton(s)","One metric tonne, abbrebiated to 't', is a unit of mass measurement and is equivalent to 1000 kg. This is a distinct value from US Tons, Short Tons, etc.",""
"","UK","United Kingdom","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","US","United States of America","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","XPS","Extruded polystyrene","A rigid foam insulation. The two basic types are open-cell and closed-cell. Closed cell XPS has its voids filled with a special gas instead of regular air in order to increase the thermal resistance. ",""