"","","","","ID for →","Materials options by VOLUME – m³","ID for →","Material options by SURFACE AREA – m²","ID for →","Material options by Length - m","ID for →","Material options by R-VALUE & AREA - m²•RSI","","Province/State","Country","USER INPUT Building Type","Construction Type","Construction Stage","Purpose of Evaluation","List of countries","Province for Country Selected","","Sheet Name","Text Color","BG Color","Full Sheet Name"
"","","","","aaacc8","Concrete – 30 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","G60979","Asphalt Shingles / Owens Corning / Duration / ","STR024","Structural Steel / Wide Flange / W250x58 (US W10x38) / AISC [Industry Avg | US]","INS013","Hempcrete cast in place / Senini / Bio Beton Jet / R2.7-inch / 230 kg/m3 [EU]","","Oregon","United States","","","","","Eritrea","Wyoming","","","","",""
"","","","","aaacc9","Concrete – 30 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","e7ab5a","Asphalt Shingles / Owens Corning / Oakridge / ","STR025","Structural Steel / Wide Flange / W250x67 (US W10x45) / AISC [Industry Avg | US]","INS014","Hempcrete dry fill / Senini / Bio Beton Pronto / R2.7-inch / 190 kg/m3 [EU]","","Pennsylvania","United States","","","","","Estonia","","","","","",""
"","","","","aaacc10","Concrete – 30 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","61aa40","Asphalt Shingles / Owens Corning / Supreme / ","STR026","Structural Steel / Wide Flange / W250x73 (US W10x49) / AISC [Industry Avg | US]","INS015","Hempcrete block / Senini / Blocco Ambiente / 20x50x30 / R2.1-inch / 330 kg/m3 [EU]","","Rhode Island","United States","","","","","Ethiopia","","","","","",""
"","","","","aaacc11","Concrete – 30 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","RRR111","Asphalt Shingles / GAF / Timberline Cool Series /","STR027","Structural Steel / Wide Flange / W250x80 (US W10x54) / AISC [Industry Avg | US]","INS016","Hempcrete block / Isohemp / Hemp Block PAL36EX  including mortar / 600 x 300 x 150-360 mm / R 2.0-inch [EU]","","South Carolina","United States","","","","","Fiji","","","","","",""
"","","","","aaacc12","Concrete – 30 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","RRR112","Asphalt Shingles / Malarkey Roofing /  Ecoasis NEX /","STR028","Structural Steel / Wide Flange / W250x131 (US W10x88) / AISC [Industry Avg | US]","CCF00X","Cementitious Foam / R 3.5-inch [BEAM Avg] ","","South Dakota","United States","","","","","Finland","","","","","",""
"","","","","aaacc13","Concrete – 30 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","RRR113","Asphalt Shingles / Malarkey Roofing /  Ecoasis Premium /","STR029","Structural Steel / Wide Flange / W310x129 (US W12x87) / AISC [Industry Avg | US]","CCF000","Cementitious Foam / Holcim / Airium Spray / R3.35/inch / 100 kg/m3 [EU]","","Tennessee","United States","","","","","France","","","","","",""
"","","","","A12346","Concrete – 30 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","RRR114","Asphalt Shingles / Malarkey Roofing / Dura-Seal /","STR030","Structural Steel / Wide Flange / W310x21 (US W12x14) / AISC [Industry Avg | US]","CCF001","Cementitious Foam / Perlmooser / Airium Spray / R3.43/inch / 70 kg/m3 [EU]","","Texas","United States","","","","","French Polynesia","","","","","",""
"","","","","aaacc14","Concrete – 35 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","RRR115","Asphalt Shingles / Malarkey Roofing / Highlander NEX /","STR031","Structural Steel / Wide Flange / W310x33 (US W12x22) / AISC [Industry Avg | US]","CCF002","Cementitious Foam /Master Builders Solutions / MasterProtect NFF / R3.8/inch / 70 kg/m3 [EU]","","Utah","United States","","","","","Gabon","","","","","",""
"","","","","aaacc15","Concrete – 35 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","RRR116","Asphalt Shingles / Malarkey Roofing / Legacy /","STR032","Structural Steel / Wide Flange / W310x39 (US W12x26) / AISC [Industry Avg | US]","MWB0ew","Mineral wool batt / [BEAM Avg] ","","Vermont","United States","","","","","Gambia","","","","","",""
"","","","","aaacc16","Concrete – 35 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","RRR117","Asphalt Shingles / Malarkey Roofing / Vista /","STR033","Structural Steel / Wide Flange / W310x45 (US W12x30) / AISC [Industry Avg | US]","MWB012","Mineral wool batt / Owens Corning / UltraBatt - Fire & Sound Guard Plus R-15, R-30 (plant Avg) / R 4.2-inch","","Virginia","United States","","","","","Georgia","","","","","",""
"","","","","aaacc17","Concrete – 35 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","RRR118","Asphalt Shingles / Malarkey Roofing / Windsor /","STR034","Structural Steel / Wide Flange / W310x52 (US W12x35) / AISC [Industry Avg | US]","MWB013","Mineral wool batt / Owens Corning / UltraBatt - Fire & Sound Guard Plus R-23 (plant Avg) / R 4.2-inch","","Washington","United States","","","","","Germany","","","","","",""
"","","","","aaacc18","Concrete – 35 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","BAM002","Bamboo plywood / Smith & Fong / Plyboo / 1/2"" (uncarved) ","STR035","Structural Steel / Wide Flange / W310x79 (US W12x53) / AISC [Industry Avg | US]","MWB014","Mineral wool batt / Rockwool / ComfortBatt R-24 (Wood Studs) / R 4.4-inch","","West Virginia","United States","","","","","Ghana","","","","","",""
"","","","","aaacc19","Concrete – 35 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","BAM003","Bamboo plywood / Smith & Fong / Plyboo / 3/4"" (uncarved) ","STR036","Structural Steel / Wide Flange / W360x33 (US W14x22) / AISC [Industry Avg | US]","MWB015","Mineral wool batt / Owens Corning / UltraBatt - Fire & Sound Guard Plus R-10 (plant Avg) / R 4.0-inch","","Wisconsin","United States","","","","","Greece","","","","","",""
"","","","","aaacc20","Concrete – 35 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","BAM00X","Bamboo Cladding [BEAM Avg]","STR037","Structural Steel / Wide Flange / W360x45 (US W14x30) / AISC [Industry Avg | US]","MWB016","Mineral wool batt / Owens Corning / UltraBatt - Fire & Sound Guard Plus R-24 (plant Avg) / R 4.0-inch","","Wyoming","United States","","","","","Grenada","","","","","",""
"","","","","A12348","Concrete – 35 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","d0rk2l","Bamboo Cladding / Dasso / dassoXTR Bamboo RainClad® Siding / Shiplap, 3/4'' (19 mm) ","STR038","Structural Steel / Wide Flange / W360x51 (US W14x34) / AISC [Industry Avg | US]","MWB017","Mineral wool batt / Rockwool / ComfortBatt R-23 / R 4.2-inch","","Other","","","","","","Guatemala","","","","","",""
"","","","","aaacc21","Concrete – 25 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","s0glec","Bamboo Cladding / Dasso / dassoCTECH outdoor oiled Cladding / Shiplap, 5/8"" (18 mm) ","STR039","Structural Steel / Wide Flange / W360x57 (US W14x38) / AISC [Industry Avg | US]","MWB018","Mineral wool batt / Rockwool / ComfortBatt R-15 / R 4.3-inch","","","","","","","","Guinea","","","","","",""
"","","","","aaacc22","Concrete – 25 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BAM000","Bamboo Cladding / Lamboo / Rainscreen™ Facing System / 11/16"" (17 mm) ","STR040","Structural Steel / Wide Flange / W410x74 (US W16x50) / AISC [Industry Avg | US]","MWB019","Mineral wool batt / Rockwool / ComfortBatt R-10, R-14, R-22, R-28, R-30, R-32 / R 4.0-inch","","","","","","","","Guyana","","","","","",""
"","","","","aaacc23","Concrete – 25 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BAM007","Bamboo Cladding / MOSO / X-treme, all profiles / Heat treated / 5/8"" (18 mm)","STR041","Structural Steel / Wide Flange / W530x72 (US W21x48) / AISC [Industry Avg | US]","MWB020","Mineral wool batt / Rockwool / ComfortBatt R-24 (Steel Studs) / R 4.0-inch","","","","","","","","Haiti","","","","","",""
"","","","","aaacc24","Concrete – 25 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BAM01X","Bamboo Flooring [BEAM Avg]","STR042","Structural Steel / Wide Flange / W530x85 (US W21x55) / AISC [Industry Avg | US]","MWB0iw","Mineral wool batt (Sound and Fire application)  / [BEAM Avg] ","","","","","","","","Honduras","","","","","",""
"","","","","aaacc25","Concrete – 25 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BAM008","Laminated Bamboo flooring / MOSO / Bamboo Elite & Elite Premium, Industriale /  9/16"" (15mm)","12a279","Steel post / Generic / 3.5 x 0.216"" (89 x 5.5 mm), Sched 40 STD","MWB001","Mineral wool batt / Owens Corning / Thermafiber SAFB (4 pcf) (Plant Avg) / R3.7/inch","","","","","","","","Hungary","","","","","",""
"","","","","A12349","Concrete – 25 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","BAM004","Hard Bamboo flooring / MOSO / Purebamboo, Topbamboo, Bamboo Supreme, UltraDensity / 9/16"" (15mm), High Density","SSS004","Steel joists / Open web / Steel Joist Institute / 12"" 12K3 joist [Industry Avg | US & CA]","MWB003","Mineral wool board / Owens Corning / Thermafiber RainBarrier HD (Plant Avg) / R 4.3-inch","","","","","","","","Iceland","","","","","",""
"","","","","aaacc26","Concrete – 30 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BAM005","Hard Bamboo flooring / MOSO / Solid & Supra Collection / 20mm, High Density","SSS005","Steel studs - Load bearing / Steel Framing Industry Assn / 600-S-137-54, 16 gauge [Industry Avg, US & CA]","MWB004","Mineral wool board / Owens Corning / Thermafiber RainBarrier ci 80 (Plant Avg) / R 4.2-inch","","","","","","","","India","","","","","",""
"","","","","aaacc27","Concrete – 30 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","2014f0","Polyester-limestone composite tile / Armstrong / BioBased Tile (BBT™) / 2.0 mm","SSS000","Steel studs - Load bearing / ClarkDietrich / 600-S-137-54, 16 gauge","MWB005","Mineral wool board / Owens Corning / Thermafiber RainBarrier HC Max (Plant Avg) / R 4.2-inch","","","","","","","","Indonesia","","","","","",""
"","","","","aaacc28","Concrete – 30 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","e73378","Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]","SSS001","Steel studs - Load bearing / MarinoWARE / Structural stud and track / 600-S-137-54, 16 gauge","MWB006","Mineral wool batt / Rockwool / Safe'n'Sound / R 4.0-inch","","","","","","","","Iran","","","","","",""
"","","","","aaacc29","Concrete – 30 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","2d7548","Brick, Clay / Interstate / Avg Face Brick / 3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","3a1205","Steel studs - Load bearing / Scafco / 600-S-137-54, 16 gauge","MWB008","Mineral wool board  / Rockwool / Cavityrock / R 4.3-inch","","","","","","","","Iraq","","","","","",""
"","","","","aaacc30","Concrete – 30 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BRI000","Brick, Clay / Matzen Tegl / Avg Face Brick, produce with Biogas  / 2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar [EU]","SSS002","Steel studs - Non-loadbearing / ClarkDietrich / 362-S-125-18, 20EQ gauge","MWB009","Mineral wool board  / Rockwool / Comfortboard 80 / R 4.2-inch","","","","","","","","Ireland","","","","","",""
"","","","","A12350","Concrete – 30 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","BRI001","Brick, Clay / Mutual Materials / Avg Face Brick (plant Avg) /  3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","SSS006","Steel studs - Non-loadbearing / Steel Framing Industry Assn / 362-S-137-54 20EQ gauge [Industry Avg, US+Can]","MWB010","Mineral wool board  / Rockwool / Comfortboard 110 / R 4.0-inch","","","","","","","","Israel","","","","","",""
"","","","","aaacc31","Concrete – 35 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BRI005","Brick, Clay / SHAW / Avg Face Brick / 3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","SSS003","Steel studs - Non-loadbearing / MarinoWARE / Viper Stud Viper 20 / 20EQ gauge","MWB011","Mineral wool board  / Rockwool / Toprock DD / R 4.3-inch","","","","","","","","Italy","","","","","",""
"","","","","aaacc32","Concrete – 35 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BRI00X","Thin Veneer Brick [BEAM Avg | US & CA]","58154c","Steel studs - Non-loadbearing / Scafco / 362VS125-18, 20EQ gauge","INS018","Mineral wool board - heavy density / NAIMA / R 4.4-inch [Industry Avg | N.America]","","","","","","","","Jamaica","","","","","",""
"","","","","aaacc33","Concrete – 35 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BRI003","Brick, Clay / Mutual Materials / Avg Thin Face Brick (plant Avg) / 2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar","2480d6","Wood floor truss / Common (Warren, 45 deg) web pattern / Top chord bearing, variable depth / QWEB [Industry Avg | CA]","INS019","Mineral wool board - light density / NAIMA / R 3.9-inch [Industry Avg | N.America]","","","","","","","","Japan","","","","","",""
"","","","","aaacc34","Concrete – 35 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","c9a7f3","Brick, Clay / Interstate / Avg Thin Face Brick / 3-9/16"" x 5/8"" x 11-5/8"" (90 x 16 mm x 295) incl. 3/8"" mortar and ties","TRU000","Wood/steel hybrid floor truss / RedBuilt / Red-L Open-Web / 14"" deep, 1.5 x 3.5"" chords","INS020","Mineral wool loose fill / NAIMA / R 3-inch [Industry Avg | N.America]","","","","","","","","Jordan","","","","","",""
"","","","","aaacc35","Concrete – 35 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","BRI006","Brick, Clay / SHAW / Slender - Thin Face Brick / 2 1/4"" x 1/2"" x 7-1/2"" (57 x 12.7 mm x 190) incl. 3/8"" mortar","TRU001","Wood/steel hybrid floor truss / RedBuilt / Red-S Open-Web / 16"" deep, double 1.5 x 2.3"" LVL chords","d0rm3c","Polyisocyanurate / Roof Boards / GRF Facer / R 5.6/inch / PIMA [Industry Avg | US & CA]","","","","","","","","Kazakhstan","","","","","",""
"","","","","A12351","Concrete – 35 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","BRI007","Brick, Waste-based / StoneCycling / Caramel / 215x102x65 mm, incl. 3/8"" mortar / EU","TRU002","Wood/steel hybrid floor truss / RedBuilt / Red-W Open-Web / 14"" deep, 1.5 x 4.25"" chords","f2l0sm","Polyisocyanurate / Roof Boards / CGF Facer / R 5.6/inch / PIMA [Industry Avg | US & CA]","","","","","","","","Kenya","","","","","",""
"","","","","aaacc36","Concrete – 25 MPa, GU / Concrete Sask [Industry Avg | CA]","21a5bb","Stone Cladding, incl. mortar & ties / Arriscraft / Natural Limestone Masonry / Weighted average product profile","jk29kd","Wood / Redwood / 1x2 Lumber / AWC & CWC [Industry Avg | US & CA]","l2j0sa","Polyisocyanurate / Roof Boards / High density / R 5.0/inch / PIMA / [Industry Avg | US & CA]","","","","","","","","Korea","","","","","",""
"","","","","aaacc37","Concrete – 25 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","n93fd1","Stone Cladding, incl. mortar & ties / Natural Stone Institute / Includes limestone, granite, marble, quartzite, sandstone  [Industry Avg | US & CA] ","iv303x","Wood / Redwood / 1x3 Lumber / AWC & CWC [Industry Avg | US & CA]","n9cx2a","Polyisocyanurate / Wall Boards / R 6.5/inch / PIMA [Industry Avg | US & CA]","","","","","","","","Korea","","","","","",""
"","","","","aaacc38","Concrete – 25 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","NSF000","Natural stone flooring / Natural Stone Institute / Includes limestone, granite, marble & quartzite / 1/2"" thickness / Mortar included / [Industry Avg, US]","31ckd0","Wood / Redwood / 1x4 Lumber / AWC & CWC [Industry Avg | US & CA]","c630d2","Polyisocyanurate / Wall Boards / DuPont / Thermax / R 6.5/inch","","","","","","","","Kuwait","","","","","",""
"","","","","aaacc39","Concrete – 25 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","NSF001","Granite flooring / Polycor Natural Stone / All granite products / 1/2"" thickness","k2f2dm","Wood / SPF / 1x2 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY00","Polyisocyanurate / Roof Boards / High density / Carlisle / Type II, R 5.0-inch, 80 psi","","","","","","","","Latvia","","","","","",""
"","","","","aaacc40","Concrete – 25 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","NSF002","Limestone flooring / Polycor Natural Stone / All limestone products / 1/2"" thickness","w93kcl","Wood / SPF / 1x3 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY01","Polyisocyanurate / Roof Boards / High density / Versico / Type II, R 5.0-inch, 80 psi","","","","","","","","Lebanon","","","","","",""
"","","","","A12352","Concrete – 25 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","NSF003","Marble flooring / Polycor Natural Stone / All marble products / 1/2"" thickness","s029f2","Wood / SPF / 1x4 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY02","Polyisocyanurate / Roof Boards / High density / Hunter / Type II R 5.0-inch, 80 psi","","","","","","","","Liberia","","","","","",""
"","","","","aaacc41","Concrete – 30 MPa, GU / Concrete Sask [Industry Avg | CA]","CAR00x","Carpet / [BEAM Avg]","92d24d","Wood / SPF / 1x6 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY03","Polyisocyanurate / Roof Boards / CGF facer / Carlisle / Type II, R 5.6-inch, 16 psi","","","","","","","","Libya","","","","","",""
"","","","","aaacc42","Concrete – 30 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","5a9ecd","Carpet / Interface / CQUEST BioX / 1.5 mm Modular tile carpet","1k46tl","Wood / SPF / 1x8 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY04","Polyisocyanurate / Roof Boards / CGF facer / Versico / Type II, R 5.6-inch, 16 psi","","","","","","","","Lithuania","","","","","",""
"","","","","aaacc43","Concrete – 30 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","CAR000","Carpet / Patcraft / Ecoworx carpet tiles with Needlebond polyester Face fiber / 3.71 mm","4f140x","Wood / SPF / 1x10 Lumber / AWC & CWC [Industry Avg | US & CA]","POLY05","Polyisocyanurate / Roof Boards / CGF facer / Hunter / H-Shield CG / Type II R 5.6-inch, 16 psi","","","","","","","","Luxembourg","","","","","",""
"","","","","aaacc44","Concrete – 30 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","CAR001","Carpet / Shaw / Residential Broadloom","d92kl5","Wood I joist / TJI 230/360 / 9-1/2"" Depth / AWC & CWC [Industry Avg | US & CA]","POLY06","Polyisocyanurate / Roof Boards / GRF facer / Carlisle / Type II, R 5.6-inch, 16 psi","","","","","","","","Madagascar","","","","","",""
"","","","","aaacc45","Concrete – 30 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","CAR002","Carpet / Shaw / Residential Broadloom with ClearTouch Platinum","cec541","Wood I joist / TJI 230/360 / 11-7/8"" Depth / AWC & CWC [Industry Avg | US & CA]","POLY07","Polyisocyanurate / Roof Boards / GRF facer / Hunter / H-Shield / Type II, R 5.6-inch, 16 psi","","","","","","","","Malawi","","","","","",""
"","","","","A12353","Concrete – 30 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","CAR003","Carpet / Shaw / Strataworx / Carpet tile","a6h0p2","Wood I joist / TJI 230/360 / 14"" Depth / AWC & CWC [Industry Avg | US & CA]","POLY08","Polyisocyanurate / Roof Boards / GRF facer / Versico / Type II, R 5.6-inch, 16 psi","","","","","","","","Malaysia","","","","","",""
"","","","","aaacc46","Concrete – 35 MPa, GU / Concrete Sask [Industry Avg | CA]","CAR004","Carpet / Shaw / StrataWorx Carpet tile witn Nylon-6 Face Fiber / 5.7 mm","f53d9a","Wood I joist / TJI 230/360 / 16"" Depth / AWC & CWC [Industry Avg | US & CA]","POLY09","Polyisocyanurate / Wall Boards / Carlisle / R2+ Silver / R6.3-inch, 20 psi","","","","","","","","Maldives","","","","","",""
"","","","","aaacc47","Concrete – 35 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","CAR005","Carpet / Venture Carpet / Average Product - Nylon 2520 Yarn System / 3.5 mm Modular Carpet","9aedf1","Wood I joist / Roseburg / RFPI Joist / ","POLY10","Polyisocyanurate / Wall Boards / Hunter / Xci / R 6.3-inch, 20 psi","","","","","","","","Mali","","","","","",""
"","","","","aaacc48","Concrete – 35 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","CAR006","Carpet / Venture Carpet / Average Product - Polypropylene Yarn System / 3.5 mm Modular Carpet","WIJ000","Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 11.875"" depth, 1.75 x 1.5"" LVL flanges","8ded24","Spray polyurethane foam - Closed Cell (HFC gas) / R 6.6-inch / SPFA [Industry Avg | US & CA]","","","","","","","","Malta","","","","","",""
"","","","","aaacc49","Concrete – 35 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","CAR007","Carpet / Venture Carpet / Polyester Yarn System / 10.0 mm Modular Carpet","WIJ001","Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 14"" depth, 1.75 x 1.5"" LVL flanges","rnd601","Spray polyurethane foam - Closed Cell (HFO gas) / Huntsman / Heatlok Soya HFO & Heatlok HFO / R 6.5-inch","","","","","","","","Mauritania","","","","","",""
"","","","","aaacc50","Concrete – 35 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","CAR008","Carpet / Venture Carpet / Recycled nylon 6 yarn system / 3.5 mm Modular Carpet","WIJ002","Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 16"" depth, 1.75 x 1.5"" LVL flanges","INS040","Spray polyurethane foam - Closed Cell (HFO gas) / R 6.6-inch / SPFA [Industry Avg | US & CA]","","","","","","","","Mauritius","","","","","",""
"","","","","A12354","Concrete – 35 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","1110de","Cedar Siding / Western Red Cedar Lumber Assn / 1x6 Boards [Industry Avg | CA]","WIJ003","Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 11.875"" depth, 2.5 x 1.5"" LVL flanges","INS041","Spray polyurethane foam - Closed Cell (HFC gas) / Carlisle CSFI / SealTite PRO Closed Cell (HFC) / R 7.0-inch","","","","","","","","Mexico","","","","","",""
"","","","","aaacc51","Concrete – 25 MPa, GU / Concrete Manitoba [Industry Avg | CA]","m210vf","Cement board / 5/8"" (16 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","WIJ004","Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 14"" depth, 2.5 x 1.5"" LVL flanges","INS042","Spray polyurethane foam - Closed Cell (HFO gas) / Carlisle CSFI / SealTite PRO HFO, SealTite One / R 7.0-inch","","","","","","","","Monaco","","","","","",""
"","","","","aaacc52","Concrete – 25 MPa, 10% FA, GU / Concrete Manitoba [Industry Avg | CA]","cfd454","Cement board / 1/2"" (13 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","WIJ005","Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 16"" depth, 2.5 x 1.5"" LVL flanges","dc197c","Spray polyurethane foam - High Density (HFC gas) / R 6.3-inch / SPFA [Industry Avg | US & CA]","","","","","","","","Mongolia","","","","","",""
"","","","","aaacc53","Concrete – 25 MPa, 20% FA, GU / Concrete Manitoba [Industry Avg | CA]","f034jf","Cement board / 1/4"" (6 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","91617a","Wood roof truss / Gable Roof, Double Howe, 2x6 Chords, 2x4 Webs, 4:12 Pitch / QWEB [Industry Avg | CA]","INS045","Spray polyurethane foam - High Density (HFO gas) / R 6.5-inch / SPFA [Industry Avg | US & CA]","","","","","","","","Montenegro","","","","","",""
"","","","","aaacc54","Concrete – 25 MPa, 30% FA, GU / Concrete Manitoba [Industry Avg | CA]","4dadb7","Ceramic tile / Crossville / Porcelain / Standard grade (mortar included)","","","INS046","Spray polyurethane foam - High Density  (HFC gas) / Carlisle CSFI / PremiSEAL / R 6.5-inch","","","","","","","","Morocco","","","","","",""
"","","","","aaacc55","Concrete – 25 MPa, 40% FA, GU / Concrete Manitoba [Industry Avg | CA]","CER000","Ceramic tile / Tile Council of North America/ 18.8 kg/m2 / [Industry Avg | US & CA] ","","","INS047","Spray polyurethane foam - High Density  (HFO gas) / Carlisle CSFI / PremiR + EVO / R 6.5-inch","","","","","","","","Mozambique","","","","","",""
